Country,Dimension_1,Dimension_2,Comp_ind,rank,,
Burundi,0.0320389,0.0130235,0.02,21,,
Central African Rep.,0.0002369,0.009905,0.0014333,28,,
Comoros,0.1970154,0.0567047,0.1080678,15,,
Madagascar,0.0056773,0.0029076,0.0041117,26,,
Tajikistan,0.0149214,0.0724011,0.0319563,20,,
"Congo, Republic of",0.0012054,0.0121645,0.0036748,27,,
Georgia,0.1043861,0.3747618,0.1933342,8,,
Kiribati,0.038935,0.0356631,0.0373215,19,,
Moldova,0.1090913,0.1556928,0.1295021,10,,
Pakistan,0.0666457,0.022324,0.039331,18,,
Samoa,0.056805,0.1753752,0.0978261,16,,
West Bank and Gaza,0.334919,0.1730587,0.243599,6,,
"Azerbaijan,Rep. of",0.0990355,0.1595487,0.1246385,12,,
Colombia,0.0486352,0.3765268,0.1304779,9,,
Dominican Republic,0.2101721,0.3493366,0.2685208,5,,
Libya,0.001083,0.2638124,0.0153263,24,,
Maldives,0.8638237,0.3534624,0.5614337,1,,
Mauritius,1,0.0867712,0.3076822,4,,
Mexico,0.0818824,0.1499171,0.1096077,14,,
Namibia,0.0021726,0.1812316,0.018339,23,,
Peru,0.0541359,0.3250057,0.1284753,11,,
"Serbia, Republic of ",0.2053204,0.001711,0.0204122,22,,
Thailand,0.2428796,0.6946368,0.4031285,2,,
"Venezuela, Rep. Bol.",0.0426406,0.3538377,0.118288,13,,
Brunei Darussalam,0.1615722,0.9276889,0.3752848,3,,
Equatorial Guinea,0.0056426,0.0316217,0.0129538,25,,
Estonia,0.0717511,0.7528428,0.2228834,7,,
Saudia Arabia,0.0139777,0.2119586,0.05118567,17,,